Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
BUENOS AIRES,Bahía Blanca,Villa Bordeau,0,,,,,,,,SI,SI,6056020,-38.647260509460,-62.320022341902
BUENOS AIRES,Bahía Blanca,Villa Espora,0,,,,,,,,,,6056020,-38.776506952922,-62.185183353718
BUENOS AIRES,Balcarce,Balcarce,38376,SI,SI,SI,SI,,SI,SI,SI,SI,6063010,-37.848277929435,-58.255166584125
BUENOS AIRES,Balcarce,Los Pinos,337,,,,,,SI,SI,,,6063020,-37.941205760300,-58.322592015044
BUENOS AIRES,Balcarce,Napaleofú,374,,,,SI,,SI,SI,SI,SI,6063030,-37.625498021003,-58.746186235942
BUENOS AIRES,Balcarce,Ramos Otero,95,,,,,,SI,,,SI,6063040,-37.542635371202,-58.340718550727
BUENOS AIRES,Balcarce,San Agustín,498,,,,,,SI,SI,,,6063050,-38.012283856459,-58.355377761682
BUENOS AIRES,Balcarce,Villa Laguna La Brava,115,,,,,,SI,SI,SI,SI,6063060,-37.859628528215,-57.980600873640
BUENOS AIRES,Baradero,Baradero,28537,SI,SI,,SI,SI,SI,SI,SI,SI,6070010,-33.812878154716,-59.504306885281
BUENOS AIRES,Baradero,Irineo Portela,379,,,,SI,SI,SI,SI,,,6070020,-33.981048919856,-59.671560160632
BUENOS AIRES,Baradero,Santa Coloma,203,,,,,,SI,,,SI,6070030,-34.062154134736,-59.558542064285
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),1488,SI,,,,,SI,SI,SI,SI,6070040,-33.909603804559,-59.388201713228
BUENOS AIRES,Benito Juárez,Barker,1241,,,SI,SI,SI,SI,SI,SI,SI,6084010,-37.642411130237,-59.388938031293
CHUBUT,Futaleufú,Lago Rosario,87,,,,,SI,,SI,,,26035040,-43.250016851871,-71.351231844289
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,SI,SI,SI,SI,,SI,SI,SI,SI,6329020,-34.926773907426,-58.945340785129
BUENOS AIRES,General Las Heras,La Choza,41,,,,,,,,,,6329030,-34.782990827616,-59.109564769325
BUENOS AIRES,General Las Heras,Lozano,0,,,,,SI,,,,,6329020,-34.854279625981,-59.053345131778
BUENOS AIRES,General Las Heras,Plomer,198,,,,,,,SI,,,6329050,-34.794119366776,-59.027975693574
BUENOS AIRES,General Las Heras,Villars,1147,,SI,SI,SI,,,SI,,,6329060,-34.830024194966,-58.942258940203
BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,,,,,,SI,,,,6336020,-36.408085187246,-56.943355333505
BUENOS AIRES,General Lavalle,General Lavalle,1827,,SI,,SI,SI,SI,SI,SI,SI,6336020,-36.408085187246,-56.943355333505
BUENOS AIRES,General Lavalle,Pavón,942,,,,SI,,SI,,SI,SI,6336030,-36.708953772665,-56.759843361757
BUENOS AIRES,General Paz,Barrio Río Salado,265,,,,,,,,,,6343010,-35.693637758258,-58.447313612508
BUENOS AIRES,General Paz,Loma Verde,657,,,,,,SI,SI,SI,SI,6343020,-35.274749012569,-58.404170189426
BUENOS AIRES,General Paz,Ranchos,7916,SI,,SI,SI,,SI,SI,SI,SI,6343030,-35.517352023365,-58.318424714865
BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),537,,,,,,SI,SI,,,6343040,-35.677627105091,-58.435092316756
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),811,SI,,,,,SI,SI,SI,SI,6351010,-34.416213730157,-61.928014174928
MISIONES,San Ignacio,General Urquiza,372,,,,,,SI,,,,54098040,-27.098881681127,-55.367816976114
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),2022,,SI,,SI,,,SI,,SI,6505020,-35.081683430686,-57.746976259214
BUENOS AIRES,Magdalena,Los Naranjos,115,,,,SI,,,,,,6505030,-34.996551858490,-57.703664245857
BUENOS AIRES,Magdalena,Magdalena,11093,SI,SI,SI,,,SI,SI,SI,SI,6505040,-35.080685303251,-57.517258583991
BUENOS AIRES,Magdalena,Roberto J. Payró,65,,,,,,SI,,,,6505050,-35.179926705787,-57.651986019808
BUENOS AIRES,Magdalena,Vieytes,287,,,,SI,,SI,SI,,,6505060,-35.269568396303,-57.575711744754
BUENOS AIRES,Maipú,Las Armas,365,SI,,,,,SI,SI,SI,SI,6511010,-37.086054098900,-57.828575227388
BUENOS AIRES,Maipú,Maipú,8883,SI,,SI,,,SI,SI,SI,SI,6511020,-36.864851464504,-57.882916619847
BUENOS AIRES,Maipú,Santo Domingo,95,,,,,SI,SI,SI,,SI,6511030,-36.713759781128,-57.586012651993
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,2877,SI,,,SI,,,,SI,SI,6515010,-34.454455057603,-58.706241740749
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,94441,SI,SI,,SI,,,SI,SI,SI,6515010,-34.486993580088,-58.728675095350
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,28780,SI,SI,,SI,,SI,SI,SI,SI,6515010,-34.500432597261,-58.661805064872
BUENOS AIRES,San Fernando,San Fernando,74814,SI,SI,SI,SI,,SI,SI,SI,SI,6749010,-34.447360174541,-58.569001591678
BUENOS AIRES,San Fernando,Victoria,42703,SI,SI,,SI,SI,SI,SI,SI,SI,6749010,-34.461982005041,-58.559597087708
BUENOS AIRES,San Fernando,Virreyes,42768,SI,SI,,SI,,,SI,SI,SI,6749010,-34.463624009273,-58.576194163319
BUENOS AIRES,San Isidro,Acassuso,12902,SI,SI,SI,SI,SI,,SI,SI,SI,6756010,-34.479401812008,-58.507404399696
BUENOS AIRES,San Isidro,Beccar,59088,SI,SI,,SI,,SI,SI,SI,SI,6756010,-34.467415946257,-58.540034350264
BUENOS AIRES,San Isidro,Boulogne Sur Mer,73842,SI,SI,,SI,,SI,SI,SI,SI,6756010,-34.498331288850,-58.570013720973
CABA,COMUNA 04,NUEVA POMPEYA,42695,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.650550196400,-58.418855009009
CHACO,San Fernando,Fontana,32027,,,,SI,,SI,,SI,SI,22140040,-27.416712742586,-59.043937789120
CHACO,San Fernando,Puerto Vilelas,8278,,,,SI,SI,,,SI,SI,22140050,-27.510609084635,-58.938994465923
CHACO,San Fernando,Resistencia,290723,SI,SI,SI,SI,SI,SI,SI,SI,SI,22140060,-27.452119458455,-58.987617440802
CHACO,San Lorenzo,Samuhú,1251,,,,,SI,,,,SI,22147010,-27.522225423470,-60.394174605751
BUENOS AIRES,Tandil,Desvío Aguirre,0,,,,SI,,SI,,SI,SI,6791050,-37.350000000000,-59.000000000000
BUENOS AIRES,Tandil,Gardey,532,,,,SI,,SI,SI,SI,SI,6791030,-37.282332337521,-59.363000474845
BUENOS AIRES,Tandil,María Ignacia (Est. Vela),1948,SI,,,,,SI,SI,,SI,6791040,-37.402907307427,-59.509335444909
BUENOS AIRES,Tandil,Tandil,116916,SI,SI,SI,SI,SI,SI,SI,SI,SI,6791050,-37.323884906088,-59.131069177043
BUENOS AIRES,Tapalqué,Crotto,247,,,,,,,,,,6798010,-36.577410391949,-60.171118535992
BUENOS AIRES,Tapalqué,Tapalqué,7444,,,,,SI,,SI,SI,SI,6798020,-36.357366988246,-60.024744348722
BUENOS AIRES,Tapalqué,Velloso,127,,,,,,,,,,6798030,-36.121530908472,-59.652714624668
BUENOS AIRES,Tigre,Benavídez,42781,SI,SI,,SI,SI,SI,SI,SI,SI,6805010,-34.410434735639,-58.688791968951
BUENOS AIRES,Tigre,Dique Luján,3351,SI,SI,,SI,,SI,SI,SI,SI,6805010,-34.371775014795,-58.691792509650
CABA,COMUNA 10,FLORESTA,37575,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.627686290594,-58.483587278360
CHUBUT,Futaleufú,Los Cipreses,179,,,,,SI,,SI,,,26035050,-43.184714621062,-71.641391929516
CHUBUT,Futaleufú,Trevelín,6353,SI,,SI,,SI,SI,SI,SI,SI,26035060,-43.090871190598,-71.465485369954
CHUBUT,Futaleufú,Villa Futalaufquen,28,,,,,SI,,SI,,,26035070,-42.900637585807,-71.606153511372
CHUBUT,Gaiman,28 de Julio,237,,,,SI,SI,,,SI,SI,26042040,-43.380977129559,-65.838687742849
CHUBUT,Gaiman,Dique Florentino Ameghino,156,,,,,,,SI,,,26042010,-43.703284751354,-66.479400323535
CHUBUT,Gaiman,Dolavon,2887,,,SI,SI,SI,,SI,,SI,26042020,-43.309297578868,-65.708738838569
BUENOS AIRES,San Isidro,Martínez,66169,SI,SI,SI,SI,SI,SI,SI,SI,SI,6756010,-34.494423077244,-58.510573275594
BUENOS AIRES,San Isidro,San Isidro,45403,SI,SI,SI,SI,SI,SI,SI,SI,SI,6756010,-34.477041216214,-58.527195199960
BUENOS AIRES,San Isidro,Villa Adelina,35473,SI,SI,,SI,,,SI,SI,SI,6756010,-34.515119767351,-58.545757922018
BUENOS AIRES,San Miguel,Bella Vista,74138,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010,-34.575140151941,-58.696040988554
BUENOS AIRES,San Miguel,Campo De Mayo,1525,,,,,SI,,,SI,SI,6760010,-34.534681818987,-58.651386016743
BUENOS AIRES,San Miguel,Muñiz,28615,SI,SI,SI,SI,,,SI,SI,SI,6760010,-34.555735162987,-58.708022757242
CORDOBA,Cruz del Eje,Canteras Quilpo,216,,,,,,SI,SI,,,14028030,-30.866693285344,-64.682901064754
CORDOBA,Cruz del Eje,Cruz de Caña,130,,,,,,SI,,,,14028040,-31.066246625154,-64.942532167236
BUENOS AIRES,Berisso,Berisso,87698,SI,SI,SI,SI,,SI,SI,SI,SI,6098010,-34.874635367965,-57.894747231680
BUENOS AIRES,Berisso,Los Talas,0,,,,,,,,,,6098010,-34.919020921985,-57.790995496289
BUENOS AIRES,Berisso,Villa Arguello,0,,,,SI,,SI,,SI,SI,6098010,-34.905398188110,-57.918081507817
BUENOS AIRES,Berisso,Villa Dolores,0,,,,,,,,SI,SI,6098010,-34.880208538389,-57.866303673262
BUENOS AIRES,Berisso,Villa Independencia,0,,,,,,,,,,6098010,-34.882951974390,-57.861489269572
BUENOS AIRES,Berisso,Villa Nueva,0,,,,SI,,SI,,SI,SI,6098010,-34.895707936235,-57.910881664474
BUENOS AIRES,Berisso,Villa Porteña,0,,,,,,,,,,6098010,-34.891043310448,-57.896377397849
BUENOS AIRES,Berisso,Villa Progreso,0,,,,SI,,SI,,,,6098010,-34.930876612363,-57.846879988562
BUENOS AIRES,Berisso,Villa San Carlos,0,,,,,,,,SI,SI,6098010,-34.883813080500,-57.877015956420
BUENOS AIRES,Berisso,Villa Zula,0,,,,,,,,,,6098010,-34.922164629832,-57.800966484066
BUENOS AIRES,Bolívar,Hale,211,SI,,,,,,SI,,,6105010,-36.001042976757,-60.853449507237
BUENOS AIRES,Bolívar,Juan F. Ibarra,33,,,,,,,,,,6105020,-36.349877052792,-61.255259122452
BUENOS AIRES,Bolívar,Mariano Unzué,0,,,,,,,,,,6105060,-36.144048524534,-61.011601010070
BUENOS AIRES,Bolívar,Paula,40,,,,,SI,,,,,6105040,-36.505318354553,-61.024328724535
BUENOS AIRES,Bolívar,Pirovano,1551,,,,,,SI,SI,SI,,6105050,-36.510917021540,-61.554551655869
BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),26242,SI,SI,SI,,,SI,SI,SI,SI,6105060,-36.229560220880,-61.113189867998
BUENOS AIRES,Bolívar,Urdampilleta,2643,,,SI,,,SI,SI,SI,SI,6105070,-36.432929236370,-61.419116019242
BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,62,,,,,,,,,,6105080,-36.602579325465,-61.361862549473
BUENOS AIRES,Bragado,Asamblea,7,,,,,,,,,,6112005,-35.226758127275,-60.416895283730
CABA,COMUNA 12,VILLA URQUIZA,91563,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.571541130345,-58.487856059665
CORDOBA,Río Cuarto,Alpa Corral,812,,,,,,,,SI,SI,14098040,-32.690403666523,-64.721171054893
CORDOBA,Río Cuarto,Berrotarán,6869,SI,SI,,SI,,SI,SI,SI,SI,14098050,-32.452866921534,-64.385440467502
CORDOBA,Río Cuarto,Bulnes,1051,SI,,,,SI,,,SI,SI,14098060,-33.503281821267,-64.675573516367
CORDOBA,Río Cuarto,Chaján,767,,,,SI,SI,,SI,SI,SI,14098070,-33.556336134749,-65.005269916631
CORDOBA,Río Cuarto,Chucul,304,SI,,,SI,,SI,SI,SI,SI,14098080,-33.008954676867,-64.171249340676
CORDOBA,Río Cuarto,Coronel Baigorria,1456,,,,SI,,,,SI,SI,14098090,-32.849547894852,-64.359859137405
CHACO,San Lorenzo,Villa Berthet,10224,,,,SI,SI,SI,,SI,SI,22147020,-27.289549240926,-60.415596208060
CHACO,Sargento Cabral,Capitán Solari,1888,,,,SI,,SI,SI,SI,SI,22154010,-26.805073218162,-59.559652374414
CHACO,Sargento Cabral,Colonia Elisa,3471,,,,,SI,,SI,SI,SI,22154020,-26.932455096068,-59.520485133937
CHACO,Sargento Cabral,Colonias Unidas,3282,,,,SI,,SI,SI,SI,SI,22154030,-26.700097177546,-59.627742182493
CHACO,Sargento Cabral,Ingeniero Barbet,277,,,,,,,,,,22154040,-27.003212106315,-59.482513652047
CHACO,Sargento Cabral,Las Garcitas,3711,,,,,SI,SI,SI,SI,SI,22154050,-26.619346034670,-59.804276381904
CHACO,Tapenagá,Charadai,1519,,,,SI,SI,,SI,SI,SI,22161010,-27.655330470962,-59.862446024538
CHACO,Tapenagá,Cote Lai,1323,,,,,,,SI,,SI,22161020,-27.530311660114,-59.576517151391
CHACO,Tapenagá,Haumonía,77,,,,,,,,,,22161030,-27.507784902935,-60.163527753741
CHACO,Tapenagá,Horquilla,122,,,,,,,,,,22161040,-27.542758933664,-59.957854103941
CHACO,Tapenagá,La Sabana,242,,,,,,,,,,22161050,-27.873800910698,-59.939569589112
CHUBUT,Biedma,Arroyo Verde,59,,,,,SI,,,,,26007010,-42.011988696966,-65.306450092609
CHUBUT,Biedma,Puerto Madryn,81315,SI,SI,SI,SI,SI,SI,SI,SI,SI,26007020,-42.755099678345,-65.042229817816
CHUBUT,Biedma,Puerto Pirámide,565,,,,,SI,SI,SI,SI,SI,26007030,-42.573617193104,-64.283689346734
CHUBUT,Biedma,Quinta El Mirador,626,,,,,,SI,,SI,SI,26007040,-42.811590013144,-65.051417803805
CORDOBA,Cruz del Eje,Cruz del Eje,30680,SI,SI,,SI,,SI,SI,SI,SI,14028050,-30.721859217310,-64.807737731214
CORDOBA,Cruz del Eje,El Brete,1749,,,,SI,,SI,,,,14028060,-30.672210058119,-64.869907029230
CORDOBA,Cruz del Eje,El Rincón,129,,,,,,,,,,14028070,-30.749160766602,-64.644515991211
CORDOBA,Cruz del Eje,Guanaco Muerto,320,,,,,,SI,,,,14028080,-30.479413180061,-65.059762773802
CORDOBA,Cruz del Eje,La Banda,560,,,,,SI,,,,,14028090,-30.762859223578,-64.645983933408
CORDOBA,Cruz del Eje,La Batea,96,,,,,,SI,,,,14028100,-30.441764653268,-65.423838653211
CORDOBA,Cruz del Eje,La Higuera,404,SI,,,,,SI,SI,,SI,14028110,-31.013954841791,-65.102031366695
CORDOBA,Cruz del Eje,Las Cañadas,149,,,,,,,,,,14028120,-30.933247948846,-64.718975869161
CORDOBA,Cruz del Eje,Las Playas,937,,,,SI,,SI,,,,14028130,-30.689590013960,-64.850883128102
CORDOBA,Cruz del Eje,Los Chañaritos,311,,,,SI,,SI,,,,14028140,-30.570000000000,-64.940000000000
CORDOBA,Cruz del Eje,Media Naranja,800,,,,,,SI,,,,14028150,-30.623310465795,-64.951540613940
CORDOBA,Cruz del Eje,Paso Viejo,1033,SI,,,,,SI,SI,SI,SI,14028160,-30.768683576800,-65.186470018914
CORDOBA,Cruz del Eje,San Marcos Sierra,943,,SI,,SI,,SI,SI,SI,SI,14028170,-30.780342062258,-64.646851513108
CORDOBA,Cruz del Eje,Serrezuela,2441,SI,,,SI,,SI,SI,SI,SI,14028180,-30.639202630035,-65.381300962188
CORDOBA,Cruz del Eje,Tuclame,907,,,,,,SI,,,,14028190,-30.748528475342,-65.237541068939
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,SI,,,SI,SI,SI,SI,SI,SI,6357080,-38.175777927560,-57.651339000321
BUENOS AIRES,General Pueyrredón,El Marquesado,196,,,,,,SI,SI,,,6357090,-38.236931251979,-57.763418077922
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,,,,,,,,SI,SI,6357090,-37.888665236683,-57.600012150177
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,SI,,,SI,SI,SI,,SI,SI,6357100,-38.036727731373,-57.712989739862
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110,-38.012091478514,-57.606494715317
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,,,,,,,,SI,SI,6351020,-38.083377428793,-57.585935093649
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,SI,,,SI,,SI,SI,SI,SI,6357120,-37.954166706805,-57.771597102223
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,,,,SI,,,,SI,SI,6364030,-34.688215947297,-58.957429713709
BUENOS AIRES,General Rodríguez,Country Club Bosque Real  Barrio Morabo,0,,,,,,,,SI,SI,6364030,-34.555000000000,-58.935000000000
CABA,COMUNA 05,ALMAGRO,131699,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.609227689120,-58.421745225394
CHUBUT,Escalante,Comodoro Rivadavia,175196,SI,SI,SI,SI,SI,SI,SI,SI,SI,26021030,-45.872984677806,-67.543055997943
CHUBUT,Escalante,Diadema Argentina,1317,,,,,,SI,,SI,SI,26021040,-45.790608915802,-67.673892572617
CHUBUT,Escalante,Km. 11  Cuarteles,0,,,,,,,,,,26021020,-45.770767961255,-67.435804674423
CHUBUT,Escalante,KM. 3  General Mosconi,0,,,,,,,,SI,SI,26021020,-45.831828125108,-67.491709642443
CHUBUT,Escalante,KM. 5  Presidente Ortiz,0,,,,,,,,,,26021020,-45.787552278920,-67.469573623597
CHUBUT,Escalante,KM. 8  Don Bosco,0,,,,,,,,SI,SI,26021020,-45.798898238596,-67.431497023044
CABA,COMUNA 05,BOEDO,47306,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.629960008066,-58.418840373838
CHUBUT,Escalante,Rada Tilly,9098,SI,SI,SI,SI,,SI,SI,SI,SI,26021050,-45.936801918563,-67.565396023657
CHUBUT,Florentino Ameghino,Camarones,1296,,,,,SI,SI,SI,,SI,26028010,-44.798290873170,-65.710599293495
CHUBUT,Florentino Ameghino,Garayalde,18,,,,,,SI,,,,26028020,-44.679578372866,-66.609736455024
CHUBUT,Futaleufú,Aldea Escolar,359,,,,,SI,,SI,,,26035010,-43.119818761403,-71.558896745801
CHUBUT,Futaleufú,Corcovado,1820,,,SI,,SI,,SI,,,26035020,-43.538002165733,-71.465961621584
CHUBUT,Futaleufú,Esquel,32343,SI,SI,SI,,SI,SI,SI,SI,SI,26035030,-42.913323885829,-71.318511631928
BUENOS AIRES,Mar Chiquita,General Pirán,2934,,,SI,SI,,SI,SI,SI,SI,6518020,-37.277860674591,-57.774014817048
BUENOS AIRES,Mar Chiquita,La Armonía,172,,,,,,SI,,SI,SI,6518030,-37.774854850113,-57.635121074791
BUENOS AIRES,Mar Chiquita,La Baliza,0,,,,,,,,SI,SI,6518020,-37.769738827540,-57.450820092514
BUENOS AIRES,Mar Chiquita,La Caleta,0,,,,,,SI,,,,6518020,-37.783438497857,-57.464786368570
BUENOS AIRES,Mar Chiquita,Mar Chiquita,487,,,,,,,SI,SI,SI,6518040,-37.746258172765,-57.427447933935
BUENOS AIRES,Mar Chiquita,Mar de Cobo,760,SI,,SI,SI,,,SI,,,6518050,-37.776800042798,-57.455658983424
BUENOS AIRES,Mar Chiquita,Playa Dorada,0,,,,,,SI,,SI,SI,6518020,-37.873095278071,-57.521889875493
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,7713,SI,,,SI,,SI,,SI,SI,6518060,-37.834833606977,-57.507948721386
BUENOS AIRES,Mar Chiquita,Santa Elena,0,,,,,,,,,,6518020,-37.864900362695,-57.516901636288
BUENOS AIRES,Mar Chiquita,Vivoratá,956,,,,SI,,SI,SI,SI,SI,6518070,-37.662799447699,-57.667096744154
BUENOS AIRES,Marcos Paz,Barrio Santa Rosa,109,,,,,,,,,SI,6525010,-34.953080822173,-58.782928637180
BUENOS AIRES,Marcos Paz,Marcos Paz,50460,SI,SI,SI,SI,SI,SI,SI,SI,SI,6525020,-34.796543688881,-58.877821120575
BUENOS AIRES,Mercedes,Goldney,85,,,,,,,,,,6532005,-34.602954670931,-59.288213732192
BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),14279,SI,,SI,SI,SI,SI,SI,SI,SI,6084020,-37.676641021011,-59.805767710944
BUENOS AIRES,Benito Juárez,López,138,,,,SI,,SI,,,,6084030,-37.554512085422,-59.627846153630
BUENOS AIRES,Benito Juárez,Tedín Uriburu,157,,,,,,,,SI,SI,6084040,-37.368368625321,-59.763039160419
BUENOS AIRES,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),2689,,,,SI,SI,SI,,SI,SI,6084050,-37.670477889356,-59.400353338651
BUENOS AIRES,Berazategui,Berazategui,100855,SI,SI,SI,SI,SI,SI,SI,SI,SI,6091010,-34.759749326494,-58.201964523428
BUENOS AIRES,Berazategui,Berazategui Oeste,87792,SI,SI,,SI,,,SI,SI,SI,6091010,-34.780420185890,-58.241501026121
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,11695,SI,SI,,SI,,,SI,SI,SI,6091010,-34.802119221463,-58.218821249490
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,7847,SI,SI,,,,SI,SI,SI,SI,6091010,-34.906755707211,-58.196699502124
CORDOBA,Totoral,Sarmiento,1288,SI,,,,,,SI,,,14168090,-30.774194100054,-64.108986811581
CORDOBA,Totoral,Simbolar,340,,,,,,,SI,,,14168100,-30.475256399813,-63.985039521845
BUENOS AIRES,Berazategui,Guillermo E. Hudson,49458,SI,SI,SI,SI,,,SI,SI,SI,6091010,-34.789759485763,-58.143969263818
BUENOS AIRES,Berazategui,Juan María Gutierrez,14868,SI,SI,SI,SI,,SI,SI,SI,SI,6091010,-34.834842076057,-58.181906112570
BUENOS AIRES,Berazategui,Pereyra,1291,SI,SI,SI,SI,,,SI,,SI,6091010,-34.847194539109,-58.139276520534
BUENOS AIRES,Berazategui,Plátanos,17961,,SI,,SI,,,SI,SI,SI,6091010,-34.767420182088,-58.165268600315
BUENOS AIRES,Berazategui,Ranelagh,17183,SI,SI,SI,SI,SI,,SI,SI,SI,6091010,-34.794146850117,-58.198981563443
BUENOS AIRES,Berazategui,Villa España,15205,SI,SI,,SI,,,SI,SI,SI,6091010,-34.776063416904,-58.200253298362
BUENOS AIRES,Berisso,Barrio Banco Provincia,0,,,,,,,,,SI,6098010,-34.875258990097,-57.855085666288
BUENOS AIRES,Berisso,Barrio El Carmen (Este),0,,,,SI,,SI,,SI,SI,6098010,-34.929310215066,-57.885355250580
BUENOS AIRES,Berisso,Barrio Universitario,0,,,,,,,,SI,SI,6098010,-34.902752883443,-57.927088433330
ENTRE RIOS,Colón,El Colorado,0,,,,,SI,,,SI,SI,30008100,-32.181901748587,-58.191856186347
ENTRE RIOS,Colón,Hambis,58,,,,,,SI,,,,30008040,-31.962951348688,-58.508205948974
BUENOS AIRES,General Pinto,General Pinto,6557,,,SI,,SI,,SI,SI,SI,6351020,-34.764155990724,-61.890067492012
BUENOS AIRES,General Pinto,Germania (Est. Mayor José Orellano),1397,SI,,,,,,,SI,SI,6351030,-34.576111833277,-62.051830689407
BUENOS AIRES,General Pinto,Gunther,23,,,,,,,,SI,,6351035,-34.599499530826,-61.916498908154
BUENOS AIRES,General Pinto,Villa Francia (Est. Coronel Granada),1176,,,,SI,SI,,SI,,SI,6351040,-34.791316021207,-62.201109068637
BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),38,,,,,,,,,,6351050,-34.579830227883,-62.171048923412
BUENOS AIRES,General Pueyrredón,Barrio Colinas Verdes,0,,,,,,SI,,SI,SI,6351020,-37.893102478925,-57.826164564311
BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,509,,,,,,SI,,,SI,6357020,-38.029722916298,-57.799548504971
BUENOS AIRES,General Pueyrredón,Barrio El Casal,0,,,,,,SI,,,,6357110,-37.832414523157,-57.631115546599
BUENOS AIRES,General Pueyrredón,Barrio El Coyunco,0,,,,SI,,SI,,SI,SI,6357110,-37.905081013527,-57.739182408646
BUENOS AIRES,General Pueyrredón,Barrio La Gloria,415,,,,,,SI,,SI,SI,6357050,-37.906826830312,-57.785886064039
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,644,,,,SI,SI,SI,,SI,SI,6357060,-37.931715784064,-57.683162032898
BUENOS AIRES,General Pueyrredón,Batán,10152,SI,,,SI,SI,SI,SI,SI,SI,6357070,-38.008621155700,-57.708550040268
BUENOS AIRES,General Pueyrredón,Camet,0,SI,,,SI,,SI,SI,SI,SI,6357090,-37.913076390837,-57.552463851894
ENTRE RIOS,Colón,Hocker,98,,,,,,SI,,,SI,30008100,-32.087495845390,-58.341705844445
BUENOS AIRES,Malvinas Argentinas,Ingeniero Pablo Nogués,42663,SI,SI,SI,SI,,SI,SI,SI,SI,6515010,-34.479093312547,-58.698974162820
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,59169,SI,SI,SI,SI,SI,SI,SI,SI,SI,6515010,-34.507874672621,-58.701343913188
BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,408,,SI,,SI,,SI,,,,6515010,-34.507874672621,-58.701343913188
BUENOS AIRES,Malvinas Argentinas,Tortuguitas,45901,SI,SI,,SI,,,SI,SI,SI,6515010,-34.474666147182,-58.751334409763
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,48136,SI,SI,SI,SI,,SI,SI,SI,SI,6515010,-34.506150759114,-58.679306350678
BUENOS AIRES,Mar Chiquita,Atlantida,0,,,,,,,,SI,SI,6518020,-37.850551925094,-57.513459563284
BUENOS AIRES,Mar Chiquita,Camet Norte,0,,,,,,,,SI,SI,6518020,-37.822432508314,-57.497469276202
BUENOS AIRES,Mar Chiquita,Coronel Vidal,6611,SI,SI,,SI,,SI,SI,SI,SI,6518010,-37.452214188593,-57.729950022932
BUENOS AIRES,Mar Chiquita,Frente Mar,0,,,,,,,,SI,SI,6518020,-37.857770246553,-57.515424243748
BUENOS AIRES,San Miguel,San Miguel,171913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010,-34.553622867777,-58.734787519595
BUENOS AIRES,San Nicolás,Campos Salles,0,,,,,,,,,,6763010,-33.401083702956,-60.284697287839
BUENOS AIRES,San Nicolás,Conesa,2066,SI,,,,SI,,SI,SI,SI,6763010,-33.596212482261,-60.354126445086
BUENOS AIRES,San Nicolás,Erézcano,434,,,,,,SI,,,,6763020,-33.523244941032,-60.317445495863
BUENOS AIRES,San Nicolás,General Rojo,2464,,,,SI,SI,,SI,SI,SI,6763030,-33.475868352360,-60.287427063673
BUENOS AIRES,San Nicolás,La Emilia,5325,,,,,,,,SI,SI,6763040,-33.351485280266,-60.313957352907
BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,133602,SI,SI,SI,SI,SI,SI,SI,SI,SI,6763050,-33.348708286828,-60.231333927581
